"OPEN_MONTH","OPEN_QUARTER","SHOW_TM","NATION_NM","TOP_COMPANY_NM","PRI_GENRE_NM","WATCH_GRADE_NM","SERIES","NAVER_CMT_NN","NAVER_EX_PT","ORI_BOOK","AUDI_ACC"
"7","3",128,"한국","씨제이이앤엠(주)","사극","15세이상관람가","0",1673,13639,"1",17613682
"1","1",111,"한국","씨제이이앤엠(주)","코미디","15세이상관람가","0",189,603,"0",16263083
"12","4",139,"한국","롯데쇼핑㈜롯데엔터테인먼트","판타지","12세이상관람가","1",4161,57194,"1",14410754
"12","4",126,"한국","씨제이이앤엠(주)","드라마","12세이상관람가","0",1229,12784,"1",14245998
"8","3",123,"한국","씨제이이앤엠(주)","액션","15세이상관람가","0",685,9952,"0",13395400
"7","3",135,"한국","기타","액션","15세이상관람가","0",702,0,"0",12983330
"1","1",127,"한국","(주)넥스트엔터테인먼트월드(NEW)","코미디","15세이상관람가","0",770,0,"0",12811206
"7","3",139,"한국","기타","액션","15세이상관람가","0",910,20846,"0",12705700
"9","3",131,"한국","씨제이이앤엠(주)","사극","15세이상관람가","0",278,0,"1",12319542
"8","3",141,"한국","기타","판타지","12세이상관람가","1",484,5023,"1",12253247
"8","3",137,"한국","기타","드라마","15세이상관람가","0",3536,45603,"0",12099971
"7","3",118,"한국","(주)넥스트엔터테인먼트월드(NEW)","액션","15세이상관람가","0",5143,62952,"0",11565078
"12","4",126,"한국","(주)넥스트엔터테인먼트월드(NEW)","드라마","15세이상관람가","0",26634,0,"1",11372451
"4","2",149,"미국","기타","액션","12세이상관람가","1",1320,44404,"1",11211880
"4","2",141,"미국","기타","액션","12세이상관람가","1",2883,96176,"1",10494499
"1","1",108,"미국","기타","애니메이션","전체관람가","1",1070,0,"0",10296101
"11","4",169,"미국","워너브러더스 코리아(주)","SF","12세이상관람가","0",808,11513,"0",10273803
"10","4",134,"미국","이십세기폭스코리아(주)","드라마","12세이상관람가","0",138,1119,"0",9946132
"2","1",126,"한국","기타","범죄","15세이상관람가","0",741,46891,"0",9699092
"9","3",139,"한국","기타","사극","15세이상관람가","0",1586,0,"0",9134586
"4","2",130,"미국","기타","액션","12세이상관람가","1",3260,0,"0",9001309
"8","3",125,"한국","씨제이이앤엠(주)","SF","15세이상관람가","0",4320,0,"1",8914845
"4","2",147,"미국","기타","액션","12세이상관람가","1",1141,55504,"1",8677249
"1","1",124,"한국","씨제이이앤엠(주)","드라마","15세이상관람가","0",1481,0,"0",8656397
"8","3",129,"한국","롯데쇼핑㈜롯데엔터테인먼트","어드벤처","12세이상관람가","1",1657,4941,"0",8646758
"1","1",125,"한국","씨제이이앤엠(주)","액션","15세이상관람가","0",613,9879,"0",7817446
"6","2",152,"미국","씨제이이앤엠(주)","액션","12세이상관람가","1",1801,0,"0",7784807
"12","4",127,"한국","씨제이이앤엠(주)","드라마","12세이상관람가","0",546,13693,"0",7759473
