OPEN_MONTH,OPEN_QUARTER,OPEN_WEEK,SHOW_TM,NATION_NM,COMPANY_NM,PRI_GENRE_NM,WATCH_GRADE_NM,SERIES,NAVER_CMT_NN,NAVER_EX_PT,ORI_BOOK,AUDI_ACC
7,3,31,128.0,한국,씨제이이앤엠(주),사극,15세이상관람가,0.0,1673.0,13639.0,1.0,17613682
1,1,4,111.0,한국,씨제이이앤엠(주),코미디,15세이상관람가,0.0,189.0,603.0,0.0,16263083
12,4,51,139.0,한국,롯데쇼핑㈜롯데엔터테인먼트,판타지,12세이상관람가,1.0,4161.0,57194.0,1.0,14410754
12,4,51,126.0,한국,씨제이이앤엠(주),드라마,12세이상관람가,0.0,1229.0,12784.0,1.0,14245998
8,3,32,123.0,한국,씨제이이앤엠(주),액션,15세이상관람가,0.0,685.0,9952.0,0.0,13395400
7,3,30,135.0,한국,(주)쇼박스,액션,15세이상관람가,0.0,702.0,0.0,0.0,12983330
1,1,4,127.0,한국,(주)넥스트엔터테인먼트월드(NEW),코미디,15세이상관람가,0.0,770.0,0.0,0.0,12811206
7,3,30,139.0,한국,(주)쇼박스,액션,15세이상관람가,0.0,910.0,20846.0,0.0,12705700
9,3,37,131.0,한국,씨제이이앤엠(주),사극,15세이상관람가,0.0,278.0,0.0,1.0,12319542
8,3,31,141.0,한국,롯데컬처웍스(주)롯데엔터테인먼트,판타지,12세이상관람가,1.0,484.0,5023.0,1.0,12253247
8,3,31,137.0,한국,(주)쇼박스,드라마,15세이상관람가,0.0,3536.0,45603.0,0.0,12099971
7,3,29,118.0,한국,(주)넥스트엔터테인먼트월드(NEW),액션,15세이상관람가,0.0,5143.0,62952.0,0.0,11565078
12,4,51,126.0,한국,(주)넥스트엔터테인먼트월드(NEW),드라마,15세이상관람가,0.0,26634.0,0.0,1.0,11372451
4,2,17,149.0,미국,월트디즈니컴퍼니코리아 유한책임회사,액션,12세이상관람가,1.0,1320.0,44404.0,1.0,11211880
4,2,17,141.0,미국,월트디즈니컴퍼니코리아(주),액션,12세이상관람가,1.0,2883.0,96176.0,1.0,10494499
1,1,3,108.0,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),애니메이션,전체관람가,1.0,1070.0,0.0,0.0,10296101
11,4,45,169.0,미국,워너브러더스 코리아(주),SF,12세이상관람가,0.0,808.0,11513.0,0.0,10273803
10,4,44,134.0,미국,이십세기폭스코리아(주),드라마,12세이상관람가,0.0,138.0,1119.0,0.0,9946132
2,1,5,126.0,한국,(주)쇼박스,범죄,15세이상관람가,0.0,741.0,46891.0,0.0,9699092
9,3,37,139.0,한국,(주)쇼박스,사극,15세이상관람가,0.0,1586.0,0.0,0.0,9134586
4,2,17,130.0,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),액션,12세이상관람가,1.0,3260.0,0.0,0.0,9001309
8,3,31,125.0,한국,씨제이이앤엠(주),SF,15세이상관람가,0.0,4320.0,0.0,1.0,8914845
4,2,17,147.0,미국,월트디즈니컴퍼니코리아(주),액션,12세이상관람가,1.0,1141.0,55504.0,1.0,8677249
1,1,4,124.0,한국,씨제이이앤엠(주),드라마,15세이상관람가,0.0,1481.0,0.0,0.0,8656397
8,3,32,129.0,한국,롯데쇼핑㈜롯데엔터테인먼트,어드벤처,12세이상관람가,1.0,1657.0,4941.0,0.0,8646758
1,1,3,125.0,한국,씨제이이앤엠(주),액션,15세이상관람가,0.0,613.0,9879.0,0.0,7817446
6,2,26,152.0,미국,씨제이이앤엠(주),액션,12세이상관람가,1.0,1801.0,0.0,0.0,7784807
12,4,51,127.0,한국,씨제이이앤엠(주),드라마,12세이상관람가,0.0,546.0,13693.0,0.0,7759473
12,4,50,132.0,미국,씨제이이앤엠(주),액션,15세이상관람가,1.0,314.0,0.0,0.0,7575899
9,3,36,139.0,한국,워너브러더스 코리아(주),액션,15세이상관람가,0.0,442.0,13996.0,0.0,7487545
8,3,32,122.0,한국,롯데쇼핑㈜롯데엔터테인먼트,사극,15세이상관람가,0.0,461.0,0.0,0.0,7466976
5,2,18,124.0,한국,씨제이이앤엠(주),드라마,15세이상관람가,1.0,514.0,0.0,0.0,7328820
7,3,27,133.0,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,액션,12세이상관람가,1.0,458.0,15235.0,0.0,7257973
12,4,52,129.0,한국,씨제이이앤엠(주),드라마,15세이상관람가,0.0,1220.0,13877.0,0.0,7231638
1,1,5,120.0,한국,씨제이이앤엠(주),액션,15세이상관람가,0.0,1238.0,0.0,0.0,7166199
12,4,51,142.0,한국,씨제이이앤엠(주),액션,15세이상관람가,0.0,1347.0,18671.0,0.0,7150541
8,3,32,126.0,한국,(주)쇼박스,드라마,12세이상관람가,0.0,545.0,14152.0,1.0,7118592
4,2,17,142.0,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,액션,12세이상관람가,1.0,1258.0,0.0,0.0,7074867
11,4,47,130.0,한국,(주)쇼박스,범죄,청소년관람불가,0.0,1309.0,12198.0,1.0,7071763
7,3,30,110.0,한국,씨제이이앤엠(주),전쟁,12세이상관람가,0.0,2063.0,35317.0,0.0,7049643
10,4,41,112.0,한국,(주)쇼박스,코미디,15세이상관람가,0.0,2144.0,15767.0,0.0,6965706
6,2,23,123.0,한국,(주)쇼박스,액션,15세이상관람가,0.0,12880.0,0.0,0.0,6953800
5,2,19,156.0,한국,이십세기폭스코리아(주),미스터리,15세이상관람가,0.0,806.0,15570.0,0.0,6878264
10,4,40,121.0,한국,메가박스중앙(주)플러스엠,범죄,청소년관람불가,0.0,1208.0,7567.0,0.0,6851297
10,4,44,124.0,한국,씨제이이앤엠(주),멜로,15세이상관람가,0.0,1166.0,0.0,0.0,6654837
7,3,30,132.0,한국,씨제이이앤엠(주),액션,15세이상관람가,0.0,3366.0,97770.0,0.0,6592151
7,3,30,147.0,미국,롯데컬처웍스(주)롯데엔터테인먼트,액션,15세이상관람가,1.0,177.0,1403.0,0.0,6584915
7,3,29,164.0,미국,워너브러더스 코리아(주),액션,15세이상관람가,1.0,1801.0,0.0,0.0,6396528
8,3,31,119.0,한국,씨제이엔터테인먼트,액션,청소년관람불가,0.0,626.0,0.0,0.0,6282774
9,3,38,125.0,한국,(주)쇼박스,사극,12세이상관람가,0.0,556.0,22459.0,0.0,6246849
7,3,31,131.0,미국,롯데쇼핑㈜롯데엔터테인먼트,액션,15세이상관람가,1.0,408.0,8626.0,0.0,6126488
2,1,7,128.0,미국,이십세기폭스코리아(주),액션,청소년관람불가,1.0,168.0,2480.0,1.0,6125154
6,2,26,130.0,한국,(주)넥스트엔터테인먼트월드(NEW),드라마,12세이상관람가,0.0,5242.0,28626.0,0.0,6043458
7,3,29,147.0,미국,워너브러더스 코리아(주),드라마,12세이상관람가,0.0,595.0,0.0,0.0,5926948
12,4,51,158.0,미국,유니버설픽쳐스인터내셔널 코리아(유),드라마,12세이상관람가,0.0,627.0,0.0,0.0,5911890
6,2,23,127.0,미국,유니버설픽쳐스인터내셔널 코리아(유),액션,12세이상관람가,1.0,230.0,3703.0,0.0,5661128
8,3,32,108.0,한국,롯데쇼핑㈜롯데엔터테인먼트,액션,15세이상관람가,0.0,1429.0,16419.0,0.0,5636259
8,3,33,107.0,한국,(주)넥스트엔터테인먼트월드(NEW),스릴러,15세이상관람가,0.0,682.0,0.0,0.0,5602543
8,3,31,126.0,한국,롯데쇼핑㈜롯데엔터테인먼트,사극,12세이상관람가,0.0,1857.0,20348.0,1.0,5593551
7,3,31,97.0,한국,롯데쇼핑㈜롯데엔터테인먼트,범죄,15세이상관람가,0.0,2051.0,0.0,0.0,5583596
6,2,24,124.0,미국,유니버설픽쳐스인터내셔널 코리아(유),액션,12세이상관람가,1.0,894.0,15462.0,0.0,5546792
3,1,10,123.0,미국,월트디즈니컴퍼니코리아 유한책임회사,액션,12세이상관람가,0.0,2160.0,2969.0,0.0,5540958
2,1,5,116.0,한국,(주)쇼박스,드라마,15세이상관람가,0.0,533.0,0.0,0.0,5507106
7,3,27,118.0,한국,(주)넥스트엔터테인먼트월드(NEW),범죄,15세이상관람가,0.0,1098.0,0.0,0.0,5496547
7,3,27,118.0,미국,월트디즈니컴퍼니코리아 유한책임회사,액션,12세이상관람가,1.0,202.0,1781.0,0.0,5447826
10,4,43,114.0,미국,월트디즈니컴퍼니코리아(주),액션,12세이상관람가,0.0,820.0,17810.0,0.0,5446379
11,4,45,108.0,한국,씨제이이앤엠(주),미스터리,15세이상관람가,0.0,517.0,15918.0,0.0,5440945
9,3,38,135.0,한국,(주)넥스트엔터테인먼트월드(NEW),사극,12세이상관람가,0.0,607.0,2468.0,0.0,5440186
2,1,7,134.0,미국,월트디즈니컴퍼니코리아 유한책임회사,액션,12세이상관람가,1.0,388.0,7497.0,0.0,5398994
1,1,3,134.0,한국,(주)넥스트엔터테인먼트월드(NEW),범죄,15세이상관람가,0.0,1086.0,17679.0,0.0,5316325
10,4,42,107.0,한국,씨제이이앤엠(주),드라마,12세이상관람가,0.0,725.0,0.0,1.0,5310510
6,2,26,164.0,미국,씨제이이앤엠(주),액션,12세이상관람가,1.0,3534.0,8008.0,0.0,5295801
10,4,44,115.0,한국,롯데컬처웍스(주)롯데엔터테인먼트,드라마,15세이상관람가,0.0,125.0,608.0,0.0,5294119
6,2,25,115.0,미국,롯데쇼핑㈜롯데엔터테인먼트,드라마,15세이상관람가,0.0,1001.0,0.0,1.0,5237525
12,4,52,121.0,한국,씨제이이앤엠(주),드라마,12세이상관람가,0.0,1412.0,0.0,0.0,5181014
3,1,11,129.0,미국,월트디즈니컴퍼니코리아 유한책임회사,멜로,전체관람가,0.0,199.0,8894.0,0.0,5137993
5,2,21,123.0,한국,(주)넥스트엔터테인먼트월드(NEW),범죄,15세이상관람가,0.0,265.0,2703.0,0.0,5063620
5,2,21,91.0,미국,씨제이이앤엠(주),애니메이션,전체관람가,1.0,620.0,0.0,0.0,5062722
12,4,51,143.0,미국,워너브러더스 코리아(주),액션,12세이상관람가,1.0,205.0,833.0,0.0,5038134
8,3,32,137.0,한국,씨제이이앤엠(주),드라마,12세이상관람가,0.0,254.0,2437.0,0.0,4971261
7,3,28,101.0,미국,월트디즈니컴퍼니코리아(주),애니메이션,전체관람가,0.0,164.0,3102.0,0.0,4968687
9,3,39,140.0,미국,이십세기폭스코리아(주),액션,청소년관람불가,,664.0,24898.0,0.0,4945484
8,3,32,121.0,한국,(주)넥스트엔터테인먼트월드(NEW),코미디,12세이상관람가,0.0,128.0,0.0,0.0,4897551
10,4,41,142.0,미국,이십세기폭스코리아(주),액션,12세이상관람가,0.0,617.0,6812.0,1.0,4875494
10,4,43,130.0,미국,월트디즈니컴퍼니코리아 유한책임회사,액션,12세이상관람가,1.0,515.0,13239.0,0.0,4857152
6,2,26,136.0,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,액션,12세이상관람가,1.0,1063.0,0.0,0.0,4853123
11,4,48,85.0,한국,CGV아트하우스,다큐멘터리,전체관람가,0.0,191.0,8651.0,0.0,4801355
1,1,4,115.0,한국,(주)쇼박스,코미디,12세이상관람가,1.0,466.0,0.0,1.0,4786259
7,3,30,137.0,한국,(주)쇼박스,사극,15세이상관람가,0.0,1738.0,14319.0,0.0,4774895
2,1,5,133.0,한국,(주)쇼박스,범죄,청소년관람불가,0.0,227.0,0.0,0.0,4710454
2,1,7,108.0,미국,월트디즈니컴퍼니코리아(주),애니메이션,전체관람가,,687.0,2474.0,0.0,4703245
6,2,23,113.0,미국,워너브러더스 코리아(주),액션,12세이상관람가,1.0,365.0,2528.0,1.0,4697142
2,1,8,134.0,한국,(주)넥스트엔터테인먼트월드(NEW),범죄,청소년관람불가,0.0,582.0,0.0,0.0,4682492
11,4,46,132.0,미국,워너브러더스 코리아(주),어드벤처,12세이상관람가,1.0,331.0,12840.0,1.0,4666993
9,3,38,125.0,한국,씨제이이앤엠(주),드라마,청소년관람불가,0.0,644.0,0.0,1.0,4662822
5,2,20,121.0,한국,(주)넥스트엔터테인먼트월드(NEW),코미디,15세이상관람가,0.0,128.0,0.0,0.0,4598583
12,4,49,135.0,한국,(주)넥스트엔터테인먼트월드(NEW),드라마,12세이상관람가,0.0,732.0,8338.0,0.0,4571142
7,3,27,109.0,한국,씨제이이앤엠(주),공포,15세이상관람가,0.0,1075.0,0.0,0.0,4513026
