TOP_DIRECTOR,OPEN_MONTH,OPEN_QUARTER,OPEN_WEEK,SHOW_TM,NATION_NM,COMPANY_NM,PRI_GENRE_NM,WATCH_GRADE_NM,TOP_ACTOR,SERIES,NAVER_CMT_NN,NAVER_EX_PT,ORI_BOOK,AUDI_ACC
김한민,7,3,31,128,한국,씨제이이앤엠(주),사극,15세이상관람가,최민식,0,1673,13639,1,17613682
이병헌,1,1,4,111,한국,씨제이이앤엠(주),코미디,15세이상관람가,류승룡,0,189,603,0,16263083
김용화,12,4,51,139,한국,롯데쇼핑㈜롯데엔터테인먼트,판타지,12세이상관람가,하정우,1,4161,57194,1,14410754
윤제균,12,4,51,126,한국,씨제이이앤엠(주),드라마,12세이상관람가,황정민,0,1229,12784,1,14245998
류승완,8,3,32,123,한국,씨제이이앤엠(주),액션,15세이상관람가,황정민,0,685,9952,0,13395400
최동훈,7,3,30,135,한국,(주)쇼박스,액션,15세이상관람가,김윤석,0,702,0,0,12983330
이환경,1,1,4,127,한국,(주)넥스트엔터테인먼트월드(NEW),코미디,15세이상관람가,류승룡,0,770,0,0,12811206
최동훈,7,3,30,139,한국,(주)쇼박스,액션,15세이상관람가,전지현,0,910,20846,0,12705700
추창민,9,3,37,131,한국,씨제이이앤엠(주),사극,15세이상관람가,이병헌,0,278,0,1,12319542
김용화,8,3,31,141,한국,롯데컬처웍스(주)롯데엔터테인먼트,판타지,12세이상관람가,하정우,1,484,5023,1,12253247
장훈,8,3,31,137,한국,(주)쇼박스,드라마,15세이상관람가,이수민,0,3536,45603,0,12099971
연상호,7,3,29,118,한국,(주)넥스트엔터테인먼트월드(NEW),액션,15세이상관람가,공유,0,5143,62952,0,11565078
양우석,12,4,51,126,한국,(주)넥스트엔터테인먼트월드(NEW),드라마,15세이상관람가,송강호,0,26634,0,1,11372451
안소니 루소/조 루소,4,2,17,149,미국,월트디즈니컴퍼니코리아 유한책임회사,액션,12세이상관람가,로버트 다우니 주니어,1,1320,44404,1,11211880
조스 웨던,4,2,17,141,미국,월트디즈니컴퍼니코리아(주),액션,12세이상관람가,로버트 다우니 주니어,1,2883,96176,1,10494499
제니퍼 리/크리스 벅,1,1,3,108,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),애니메이션,전체관람가,이디나 멘젤,1,1070,0,0,10296101
크리스토퍼 놀란,11,4,45,169,미국,워너브러더스 코리아(주),SF,12세이상관람가,매튜 매커너히,0,808,11513,0,10273803
브라이언 싱어,10,4,44,134,미국,이십세기폭스코리아(주),드라마,12세이상관람가,라미 말렉,0,138,1119,0,9946132
이일형,2,1,5,126,한국,(주)쇼박스,범죄,15세이상관람가,황정민,0,741,46891,0,9699092
한재림,9,3,37,139,한국,(주)쇼박스,사극,15세이상관람가,송강호,0,1586,0,0,9134586
쉐인 블랙,4,2,17,130,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),액션,12세이상관람가,로버트 다우니 주니어,1,3260,0,0,9001309
봉준호,8,3,31,125,한국,씨제이이앤엠(주),SF,15세이상관람가,크리스 에반스,0,4320,0,1,8914845
안소니 루소/조 루소,4,2,17,147,미국,월트디즈니컴퍼니코리아(주),액션,12세이상관람가,크리스 에반스,1,1141,55504,1,8677249
황동혁,1,1,4,124,한국,씨제이이앤엠(주),드라마,15세이상관람가,심은경,0,1481,0,0,8656397
이석훈,8,3,32,129,한국,롯데쇼핑㈜롯데엔터테인먼트,어드벤처,12세이상관람가,김남길,1,1657,4941,0,8646758
김성훈,1,1,3,125,한국,씨제이이앤엠(주),액션,15세이상관람가,현빈,0,613,9879,0,7817446
마이클 베이,6,2,26,152,미국,씨제이이앤엠(주),액션,12세이상관람가,조쉬 더하멜,1,1801,0,0,7784807
이석훈,12,4,51,127,한국,씨제이이앤엠(주),드라마,12세이상관람가,황정민,0,546,13693,0,7759473
브래드 버드,12,4,50,132,미국,씨제이이앤엠(주),액션,15세이상관람가,톰 크루즈,1,314,0,0,7575899
김지운,9,3,36,139,한국,워너브러더스 코리아(주),액션,15세이상관람가,송강호,0,442,13996,0,7487545
김한민,8,3,32,122,한국,롯데쇼핑㈜롯데엔터테인먼트,사극,15세이상관람가,박해일,0,461,0,0,7466976
강형철,5,2,18,124,한국,씨제이이앤엠(주),드라마,15세이상관람가,유호정,1,514,0,0,7328820
존 왓츠,7,3,27,133,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,액션,12세이상관람가,톰 홀랜드,1,458,15235,0,7257973
장준환,12,4,52,129,한국,씨제이이앤엠(주),드라마,15세이상관람가,김윤석,0,1220,13877,0,7231638
류승완,1,1,5,120,한국,씨제이이앤엠(주),액션,15세이상관람가,하정우,0,1238,0,0,7166199
조의석,12,4,51,142,한국,씨제이이앤엠(주),액션,15세이상관람가,이병헌,0,1347,18671,0,7150541
김성훈,8,3,32,126,한국,(주)쇼박스,드라마,12세이상관람가,하정우,0,545,14152,1,7118592
조스 웨던,4,2,17,142,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,액션,12세이상관람가,로버트 다우니 주니어,1,1258,0,0,7074867
우민호,11,4,47,130,한국,(주)쇼박스,범죄,청소년관람불가,이병헌,0,1309,12198,1,7071763
이재한,7,3,30,110,한국,씨제이이앤엠(주),전쟁,12세이상관람가,김정철,0,2063,35317,0,7049643
이계벽,10,4,41,112,한국,(주)쇼박스,코미디,15세이상관람가,유해진,0,2144,15767,0,6965706
장철수,6,2,23,123,한국,(주)쇼박스,액션,15세이상관람가,김수현,0,12880,0,0,6953800
나홍진,5,2,19,156,한국,이십세기폭스코리아(주),미스터리,15세이상관람가,곽도원,0,806,15570,0,6878264
