OPEN_WEEK,SHOW_TM,NATION_NM,COMPANY_NM,PRI_GENRE_NM,WATCH_GRADE_NM,SERIES,NAVER_CMT_NN,NAVER_EX_PT,AUDI_ACC,y_pred,exp(test_y),exp(y_pred)
31,128,한국,씨제이이앤엠(주),사극,15세이상관람가,0,7.42237370098682,9.52068861492688,16.6841865443637,15.9632897442918,17613682,8565814.18092843
4,111,한국,씨제이이앤엠(주),코미디,15세이상관람가,0,5.24174701505964,6.40191719672719,16.604408250507,15.2762810805904,16263083,4309278.64615237
51,139,한국,롯데쇼핑㈜롯데엔터테인먼트,판타지,12세이상관람가,1,8.33351070898294,10.9542042767611,16.4834852913813,15.8003583678081,14410754,7277939.67038874
51,126,한국,씨제이이앤엠(주),드라마,12세이상관람가,0,7.11395610956603,9.45594966800606,16.4719865831301,15.7806135942806,14245998,7135647.78314429
32,123,한국,씨제이이앤엠(주),액션,15세이상관람가,0,6.52941883826223,9.20552881497896,16.4104219224038,15.7513689802098,13395400,6929990.3606793
30,135,한국,(주)쇼박스,액션,15세이상관람가,0,6.55393340402581,0,16.3791767848735,15.7754814004557,12983330,7099120.06948469
4,127,한국,(주)넥스트엔터테인먼트월드(NEW),코미디,15세이상관람가,0,6.64639051484773,0,16.3658308146406,15.3957751518176,12811206,4856240.57266561
30,139,한국,(주)쇼박스,액션,15세이상관람가,0,6.8134445995109,9.94491736229927,16.3575612696374,15.9116425748936,12705700,8134644.31513736
37,131,한국,씨제이이앤엠(주),사극,15세이상관람가,0,5.62762111369064,0,16.326697340054,15.3105174248929,12319542,4459367.17489866
31,141,한국,롯데컬처웍스(주)롯데엔터테인먼트,판타지,12세이상관람가,1,6.18208490671663,8.52178264375005,16.321301521057,15.7690551082386,12253247,7053645.32293683
31,137,한국,(주)쇼박스,드라마,15세이상관람가,0,8.17075142375753,10.7277287828121,16.3087136138699,15.927411820127,12099971,8263938.27100468
29,118,한국,(주)넥스트엔터테인먼트월드(NEW),액션,15세이상관람가,0,8.54539184577492,11.0501278102148,16.2635005981126,15.6610443127161,11565078,6331478.3453147
51,126,한국,(주)넥스트엔터테인먼트월드(NEW),드라마,15세이상관람가,0,10.1899438740621,0,16.2467044097778,15.5643355277942,11372451,5747844.8153674
17,149,미국,월트디즈니컴퍼니코리아 유한책임회사,액션,12세이상관람가,1,7.18538701558042,10.7010848344525,16.2324844883911,15.9168902484356,11211880,8177444.47529806
17,141,미국,월트디즈니컴퍼니코리아(주),액션,12세이상관람가,1,7.9665866976384,11.4739351252789,16.1663617730798,15.9723687613297,10494499,8643937.45847251
3,108,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),애니메이션,전체관람가,1,6.97541392745595,0,16.1472758378448,15.243914214067,10296101,4172033.87245616
45,169,미국,워너브러더스 코리아(주),SF,12세이상관람가,0,6.69456205852109,9.35123211067366,16.14510781521,15.4143675204264,10273803,4947374.15682986
