TITLE,OPEN_DT,OPEN_MONTH,OPEN_QUARTER,OPEN_WEEK,SHOW_TM,NATION_NM,COMPANY_NM,PRI_GENRE_NM,WATCH_GRADE_NM,SERIES,NAVER_CMT_NN,NAVER_EX_PT,ORI_BOOK,y_pred_test,exp(y_pred_test)
훔쳐본 숙모의 방,2019-07-05,7,3,27,62,일본,기타,성인물,청소년관람불가,0,0,0,0,7.73640209809254,2290.21756387063
일본 료칸형 호텔의 마사지사,2019-07-05,7,3,27,60,일본,기타,멜로,청소년관람불가,0,0,0,0,7.90617203131364,2713.98152021661
이모의유혹2,2019-07-05,7,3,27,72,한국,기타,멜로,청소년관람불가,0,0,0,0,7.75653016111645,2336.7822638556
귀신의 향기,2019-07-03,7,3,27,93,한국,기타,공포,15세이상관람가,0,9,167,0,8.0197915654928,3040.54351270202
한낮의 피크닉,2019-07-04,7,3,27,78,한국,기타,드라마,12세이상관람가,0,0,16,0,7.62163924709519,2041.90657730985
칠드런 액트,2019-07-04,7,3,27,105,영국,기타,드라마,12세이상관람가,0,9,151,0,8.69948046507748,5999.79430472968
종횡강호: 용유검의 전설,2019-07-04,7,3,27,96,중국,기타,액션,15세이상관람가,0,0,0,0,8.10167647402074,3299.99579767103
오시로가의 비밀,2019-07-04,7,3,27,87,미국,기타,미스터리,12세이상관람가,0,1,15,0,8.10804776682001,3321.08815858718
별의 정원,2019-07-04,7,3,27,74,한국,기타,애니메이션,전체관람가,0,33,78,0,9.79462362915468,17937.0489968778
방세옥-천하대전,2019-07-04,7,3,27,96,중국,기타,액션,15세이상관람가,0,0,0,0,8.10167647402074,3299.99579767103
동명이인 프로젝트 시즌2,2019-07-04,7,3,27,64,한국,기타,기타,12세이상관람가,1,0,3,0,8.07727195441109,3220.43574659095
다크 케이브,2019-07-04,7,3,27,82,미국,기타,스릴러,15세이상관람가,0,12,21,0,8.06673427633776,3186.6780079074
갤버스턴,2019-07-04,7,3,27,93,미국,기타,드라마,15세이상관람가,0,137,144,0,9.16770496482784,9582.60701386709
13년의 공백,2019-07-04,7,3,27,70,일본,기타,드라마,12세이상관람가,0,4,82,0,8.08069193596148,3231.46843246613
아저씨 안마만 하세요,2019-07-02,7,3,27,60,일본,기타,드라마,청소년관람불가,0,0,0,0,7.71671448687092,2245.56959887607
스파이더맨: 파 프롬 홈,2019-07-02,7,3,27,129,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,액션,12세이상관람가,1,152,2265,0,14.6097350640989,2212724.37709583
쿵푸 파이터,2019-07-01,7,3,27,92,미국,기타,액션,15세이상관람가,0,0,0,0,8.1111245870116,3331.32228590262
컨저링 하우스,2019-07-01,7,3,27,79,미국,기타,공포,15세이상관람가,0,0,0,0,8.10642759656376,3315.71178682913
생사결,2019-07-01,7,3,27,99,홍콩,기타,액션,청소년관람불가,0,17,7,0,7.7082180523055,2226.57108781096
나쁜 처제,2019-07-01,7,3,27,72,한국,기타,멜로,청소년관람불가,0,2,0,0,7.79558582835772,2429.85248409395
