"OPEN_MONTH","OPEN_QUARTER","SHOW_TM","NATION_NM","TOP_COMPANY_NM","PRI_GENRE_NM","WATCH_GRADE_NM","SERIES","NAVER_CMT_NN","NAVER_EX_PT","ORI_BOOK","AUDI_ACC","AUDI_ACC_PRED"
"1","1",127,"한국","(주)넥스트엔터테인먼트월드(NEW)","코미디","15세이상관람가","0",2.88705437805096,0,"0",12811206,1698215.57678509
"7","3",139,"한국","기타","액션","15세이상관람가","0",2.959518376973,4.31904356639911,"0",12705700,4066826.78051263
"12","4",126,"한국","(주)넥스트엔터테인먼트월드(NEW)","드라마","15세이상관람가","0",4.42545270112085,0,"1",11372451,2184479.63771099
"1","1",108,"미국","기타","애니메이션","전체관람가","1",3.02978947083186,0,"0",10296101,760832.731873885
"8","3",125,"한국","씨제이이앤엠(주)","SF","15세이상관람가","0",3.63558426631123,0,"1",8914845.00000001,1682738.39050192
"4","2",147,"미국","기타","액션","12세이상관람가","1",3.05766610390983,4.74433210698937,"1",8677249,5739703.08192304
"8","3",122,"한국","롯데쇼핑㈜롯데엔터테인먼트","사극","15세이상관람가","0",2.66464197555613,0,"0",7466975.99999999,1115777.49941431
"7","3",133,"미국","기타","액션","12세이상관람가","1",2.66181268553726,4.18287096398891,"0",7257973,3383856.22064671
"8","3",126,"한국","기타","드라마","12세이상관람가","0",2.73719264270474,4.15084850666952,"1",7118591.99999999,1345347.41789686
"7","3",110,"한국","씨제이이앤엠(주)","전쟁","12세이상관람가","0",3.31470969295517,4.54799610222272,"0",7049643,965354.731117423
"12","4",158,"미국","유니버설픽쳐스인터내셔널 코리아(유)","드라마","12세이상관람가","0",2.7979596437372,0,"0",5911890,721531.11001759
"8","3",108,"한국","롯데쇼핑㈜롯데엔터테인먼트","액션","15세이상관람가","0",3.15533603746506,4.21537315278342,"0",5636259,1249002.43139623
"8","3",126,"한국","롯데쇼핑㈜롯데엔터테인먼트","사극","12세이상관람가","0",3.26904570965762,4.30854307178468,"1",5593551,2783677.268671
"10","4",114,"미국","기타","액션","12세이상관람가","0",2.91434315711944,4.25068830364572,"0",5446379,1972596.89697381
"11","4",108,"한국","씨제이이앤엠(주)","미스터리","15세이상관람가","0",2.71432975974523,4.2019157827407,"0",5440945,803064.440103363
"6","2",115,"미국","롯데쇼핑㈜롯데엔터테인먼트","드라마","15세이상관람가","0",3.00086772153123,0,"1",5237525,540018.173400985
"5","2",123,"한국","(주)넥스트엔터테인먼트월드(NEW)","범죄","15세이상관람가","0",2.42488163663107,3.4320066872696,"0",5063620,1257571.28800886
"12","4",143,"미국","워너브러더스 코리아(주)","액션","12세이상관람가","1",2.31386722036915,2.92116605063774,"0",5038134,1248326.71347326
"7","3",101,"미국","기타","애니메이션","전체관람가","0",2.21748394421391,3.49178177558417,"0",4968687,262995.882646811
"10","4",142,"미국","이십세기폭스코리아(주)","액션","12세이상관람가","0",2.79098847508882,3.8333383889394,"1",4875494,1877257.66157976
"6","2",136,"미국","기타","액션","12세이상관람가","1",3.02694162795903,0,"0",4853123,2372840.7343329
"2","1",108,"미국","기타","애니메이션","전체관람가","0",2.83758843823551,3.39357520326959,"0",4703245,405543.601137571
"11","4",132,"미국","워너브러더스 코리아(주)","어드벤처","12세이상관람가","1",2.52113808370404,4.10859884597357,"1",4666993,1705689.67690016
"9","3",125,"한국","씨제이이앤엠(주)","드라마","청소년관람불가","0",2.80955971463527,0,"1",4662822,1012073.78938565
"12","4",139,"한국","(주)넥스트엔터테인먼트월드(NEW)","액션","15세이상관람가","0",2.92941892571429,3.77568324902604,"0",4451336,2271207.92916106
"9","3",147,"한국","기타","드라마","청소년관람불가","1",3.53807078704317,3.85479169405399,"1",4001813,1278362.92372521
"11","4",114,"한국","씨제이이앤엠(주)","드라마","12세이상관람가","0",2.49554433754645,3.06929801211553,"0",3754983,397854.148731305
"9","3",121,"미국","워너브러더스 코리아(주)","코미디","12세이상관람가","0",2.14921911265538,3.71808629478309,"0",3610642,605925.508618844
"12","4",127,"미국","기타","드라마","12세이상관람가","0",2.02118929906994,3.40925665203891,"0",3597193,113617.324039648
"1","1",126,"미국","기타","애니메이션","전체관람가","0",2.70757017609794,3.65011316444357,"0",3510017,866423.94732527
"3","1",115,"한국","기타","범죄","15세이상관람가","0",2.23552844690755,3.35774432518038,"1",3389046,300766.68933686
"5","2",106,"미국","기타","액션","12세이상관람가","1",2.48287358360875,0,"0",3379762,609061.613747238
"10","4",90,"미국","기타","SF","12세이상관람가","0",2.76566855475901,0,"0",3227452,56002.7587709306
"5","2",137,"미국","기타","액션","12세이상관람가","1",3.00987563371216,0,"1",3130046,2198039.38473054
"7","3",125,"미국","기타","애니메이션","전체관람가","1",2.1846914308176,3.14643813528577,"0",3033052,338063.988813722
"3","1",124,"한국","기타","범죄","청소년관람불가","0",3.17289469775218,3.90433679220249,"0",2931897,2242276.39298886
"10","4",119,"한국","기타","범죄","청소년관람불가","0",2.04921802267018,0,"0",2766436,140321.879566951
"9","3",121,"한국","롯데쇼핑㈜롯데엔터테인먼트","멜로","12세이상관람가","0",2.73719264270474,0,"0",2731828,1144688.65798658
"8","3",115,"미국","롯데쇼핑㈜롯데엔터테인먼트","범죄","12세이상관람가","0",2.58883172559421,0,"0",2718227,578256.452967665
"9","3",118,"한국","기타","범죄","15세이상관람가","0",2.99651167215418,3.99175753953435,"1",2656694,1879096.82581231
"6","2",150,"미국","롯데쇼핑㈜롯데엔터테인먼트","액션","12세이상관람가","0",3.08778141780954,4.22328821909695,"0",2614601,2543916.44276748
"8","3",111,"한국","(주)넥스트엔터테인먼트월드(NEW)","스릴러","15세이상관람가","0",2.06445798922692,2.7664128471124,"0",2524086,431918.302542002
"3","1",117,"한국","기타","미스터리","15세이상관람가","0",2.15533603746506,0,"1",2435211,180446.622358954
"2","1",119,"한국","기타","사극","12세이상관람가","1",2.39445168082622,3.59725628292514,"0",2424330,841857.832709166
"9","3",103,"한국","(주)넥스트엔터테인먼트월드(NEW)","코미디","15세이상관람가","1",2.63042787502502,0,"0",2363955,392249.7122742
"8","3",111,"한국","(주)넥스트엔터테인먼트월드(NEW)","스릴러","청소년관람불가","0",2.3654879848909,0,"0",2362906,780710.897546706
"1","1",142,"미국","이십세기폭스코리아(주)","액션","12세이상관람가","1",2.67394199863409,4.3807537708039,"1",2299732,2206290.9892704
"6","2",109,"미국","이십세기폭스코리아(주)","액션","15세이상관람가","0",1.88081359228079,0,"0",2282191,236783.32298103
"9","3",111,"미국","워너브러더스 코리아(주)","공포","15세이상관람가","1",2.92479599579791,0,"0",2262758,683097.30542767
"3","1",151,"미국","워너브러더스 코리아(주)","액션","12세이상관람가","1",3.05230909964732,4.20479803819086,"1",2256913,2356824.10013017
"6","2",142,"미국","워너브러더스 코리아(주)","SF","12세이상관람가","1",2.98587535730839,0,"0",2182227,1363339.70874177
"11","4",114,"한국","(주)넥스트엔터테인먼트월드(NEW)","SF","15세이상관람가","0",3.01241537476243,0,"0",2164805,690462.815113721
"12","4",118,"한국","롯데쇼핑㈜롯데엔터테인먼트","코미디","청소년관람불가","0",2.26717172840301,0,"0",2080574,713559.51258085
"1","1",90,"미국","씨제이이앤엠(주)","애니메이션","전체관람가","1",2.35024801833416,0,"1",2080154,686769.013313034
"3","1",137,"미국","이십세기폭스코리아(주)","액션","청소년관람불가","1",2.73399928653839,3.61214783832649,"1",2070084,1395789.77156583
"2","1",121,"미국","이십세기폭스코리아(주)","액션","12세이상관람가","0",2.40823996531185,2.94890176097021,"1",1949297,343135.28058173
"8","3",108,"미국","워너브러더스 코리아(주)","공포","15세이상관람가","1",2.2148438480477,3.78703518202622,"0",1934192,550820.915893711
"8","3",122,"미국","워너브러더스 코리아(주)","액션","15세이상관람가","1",3.03782475058834,4.51156253273338,"1",1898121,2096650.48305401
"2","1",114,"영국","기타","드라마","15세이상관람가","0",2.64640372622307,3.85375903307477,"1",1743774,165381.749903979
"1","1",118,"미국","기타","액션","12세이상관람가","0",2.25527250510331,3.59889988706388,"0",1708672,661189.636304776
"2","1",122,"한국","씨제이이앤엠(주)","멜로","15세이상관람가","0",3.90134932541564,4.08195906630048,"0",1707487,1509215.13026016
"2","1",117,"미국","유니버설픽쳐스인터내셔널 코리아(유)","스릴러","15세이상관람가","0",2.23044892137827,3.57426282970703,"1",1675798,301924.420563814
"6","2",93,"미국","씨제이이앤엠(주)","애니메이션","전체관람가","1",2.18752072083646,0,"0",1626704,347827.962063343
"10","4",121,"한국","(주)넥스트엔터테인먼트월드(NEW)","사극","15세이상관람가","0",2.42160392686983,3.21272015441784,"0",1599290,661226.348842063
"9","3",124,"한국","기타","드라마","15세이상관람가","0",2.54900326202579,0,"0",1571432,621586.543466112
"12","4",89,"미국","유니버설픽쳐스인터내셔널 코리아(유)","애니메이션","전체관람가","1",2.65321251377534,3.63778982936223,"0",1515104,973727.368285232
"12","4",127,"한국","롯데쇼핑㈜롯데엔터테인먼트","드라마","12세이상관람가","0",2.69722934275972,0,"0",1507084,1258900.82284722
"2","1",103,"한국","기타","드라마","전체관람가","0",2.58994960132571,3.74927240829842,"0",1505560,177753.424596531
"8","3",102,"미국","기타","가족","전체관람가","1",2.7664128471124,0,"0",1484843,167450.577192376
