OPEN_WEEK,SHOW_TM,NATION_NM,COMPANY_NM,PRI_GENRE_NM,WATCH_GRADE_NM,SERIES,NAVER_CMT_NN,NAVER_EX_PT,AUDI_ACC,y_pred,exp(train_y),exp(y_pred)
31,128,한국,씨제이이앤엠(주),사극,15세이상관람가,0,7.42237370098682,9.52068861492688,16.6841865443637,15.931893567546,17613682,8301058.27412825
4,111,한국,씨제이이앤엠(주),코미디,15세이상관람가,0,5.24174701505964,6.40191719672719,16.604408250507,14.9386276753756,16263083,3074422.61888326
51,139,한국,롯데쇼핑㈜롯데엔터테인먼트,판타지,12세이상관람가,1,8.33351070898294,10.9542042767611,16.4834852913813,15.7438932483779,14410754,6878376.77617908
51,126,한국,씨제이이앤엠(주),드라마,12세이상관람가,0,7.11395610956603,9.45594966800606,16.4719865831301,15.7427560084796,14245998,6870558.85794032
32,123,한국,씨제이이앤엠(주),액션,15세이상관람가,0,6.52941883826223,9.20552881497896,16.4104219224038,15.5397730762444,13395400,5608383.42392332
30,135,한국,(주)쇼박스,액션,15세이상관람가,0,6.55393340402581,0,16.3791767848735,15.4393249385979,12983330,5072401.53315834
4,127,한국,(주)넥스트엔터테인먼트월드(NEW),코미디,15세이상관람가,0,6.64639051484773,0,16.3658308146406,15.2714150857534,12811206,4288360.65320647
30,139,한국,(주)쇼박스,액션,15세이상관람가,0,6.8134445995109,9.94491736229927,16.3575612696374,15.7460472166852,12705700,6893208.54961135
37,131,한국,씨제이이앤엠(주),사극,15세이상관람가,0,5.62762111369064,0,16.326697340054,15.055948633312,12319542,3457127.6154647
31,141,한국,롯데컬처웍스(주)롯데엔터테인먼트,판타지,12세이상관람가,1,6.18208490671663,8.52178264375005,16.321301521057,15.0115498106148,12253247,3306992.78628645
31,137,한국,(주)쇼박스,드라마,15세이상관람가,0,8.17075142375753,10.7277287828121,16.3087136138699,15.7978741439806,12099971,7259882.07808203
