TITLE,OPEN_DT,OPEN_MONTH,OPEN_QUARTER,OPEN_WEEK,SHOW_TM,NATION_NM,COMPANY_NM,PRI_GENRE_NM,WATCH_GRADE_NM,SERIES,NAVER_CMT_NN,NAVER_EX_PT,ORI_BOOK,y_pred_test,exp(y_pred_test)
훔쳐본 숙모의 방,2019-07-05,7,3,27,62,일본,기타,성인물,청소년관람불가,0,0,0,0,8.7231105293066,6143.25818430587
일본 료칸형 호텔의 마사지사,2019-07-05,7,3,27,60,일본,기타,멜로,청소년관람불가,0,0,0,0,8.45176963324935,4683.35322422083
이모의유혹2,2019-07-05,7,3,27,72,한국,기타,멜로,청소년관람불가,0,0,0,0,8.32788057356209,4137.63883149428
귀신의 향기,2019-07-03,7,3,27,93,한국,기타,공포,15세이상관람가,0,9,167,0,8.72417705516555,6149.81362316882
한낮의 피크닉,2019-07-04,7,3,27,78,한국,기타,드라마,12세이상관람가,0,0,16,0,8.25749715177512,3856.42995271687
칠드런 액트,2019-07-04,7,3,27,105,영국,기타,드라마,12세이상관람가,0,9,151,0,8.97668142561163,7916.31758749726
종횡강호: 용유검의 전설,2019-07-04,7,3,27,96,중국,기타,액션,15세이상관람가,0,0,0,0,8.41113464249264,4496.85994636247
오시로가의 비밀,2019-07-04,7,3,27,87,미국,기타,미스터리,12세이상관람가,0,1,15,0,8.54695985543404,5151.07059941221
별의 정원,2019-07-04,7,3,27,74,한국,기타,애니메이션,전체관람가,0,33,78,0,9.88111341334825,19557.4861100535
방세옥-천하대전,2019-07-04,7,3,27,96,중국,기타,액션,15세이상관람가,0,0,0,0,8.41113464249264,4496.85994636247
동명이인 프로젝트 시즌2,2019-07-04,7,3,27,64,한국,기타,기타,12세이상관람가,1,0,3,0,8.61792069329434,5529.87612262965
다크 케이브,2019-07-04,7,3,27,82,미국,기타,스릴러,15세이상관람가,0,12,21,0,8.41703323907079,4523.46349371551
갤버스턴,2019-07-04,7,3,27,93,미국,기타,드라마,15세이상관람가,0,137,144,0,9.58709322491848,14575.440371327
13년의 공백,2019-07-04,7,3,27,70,일본,기타,드라마,12세이상관람가,0,4,82,0,8.46469871287192,4744.29780063673
아저씨 안마만 하세요,2019-07-02,7,3,27,60,일본,기타,드라마,청소년관람불가,0,0,0,0,8.43300622567207,4596.29685007513
스파이더맨: 파 프롬 홈,2019-07-02,7,3,27,129,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,액션,12세이상관람가,1,152,2265,0,13.6073438388781,812071.637584113
쿵푸 파이터,2019-07-01,7,3,27,92,미국,기타,액션,15세이상관람가,0,0,0,0,8.29919741460826,4020.64418824941
컨저링 하우스,2019-07-01,7,3,27,79,미국,기타,공포,15세이상관람가,0,0,0,0,8.41304088948726,4505.44024760894
생사결,2019-07-01,7,3,27,99,홍콩,기타,액션,청소년관람불가,0,17,7,0,8.47195955655616,4778.87076792421
나쁜 처제,2019-07-01,7,3,27,72,한국,기타,멜로,청소년관람불가,0,2,0,0,8.36368974285708,4288.48903186052
